row_id,trip_id,station_name,event_type,scheduled_time,actual_time,delay_seconds,day_of_week,hour_of_day,service_date,punctuality_status,delay_bucket,peak_status,day_type
0,1|64498|2|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-23 23:08:00,2025-01-23 23:07:00,-60.0,4,23,2025-01-23,punctual,1_to_5min_early,off_peak,weekday
1,1|64498|2|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-23 23:08:00,2025-01-23 23:07:00,-60.0,4,23,2025-01-23,punctual,1_to_5min_early,off_peak,weekday
2,1|64462|8|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-23 23:09:00,2025-01-23 23:07:00,-120.0,4,23,2025-01-23,early,1_to_5min_early,off_peak,weekday
3,1|64462|8|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-23 23:09:00,2025-01-23 23:07:00,-120.0,4,23,2025-01-23,early,1_to_5min_early,off_peak,weekday
4,1|64498|3|86|23012025,Antonplatz (Berlin),arrival,2025-01-23 23:18:00,2025-01-23 23:19:00,60.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
5,1|64462|8|86|23012025,Antonplatz (Berlin),arrival,2025-01-23 23:18:00,2025-01-23 23:16:00,-120.0,4,23,2025-01-23,early,1_to_5min_early,off_peak,weekday
6,1|64462|8|86|23012025,Antonplatz (Berlin),departure,2025-01-23 23:18:00,2025-01-23 23:18:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
7,1|64498|3|86|23012025,Antonplatz (Berlin),departure,2025-01-23 23:18:00,2025-01-23 23:18:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
8,1|64498|3|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-23 23:28:00,2025-01-23 23:32:00,240.0,4,23,2025-01-23,late,1_to_5min_late,off_peak,weekday
9,1|64498|3|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-23 23:28:00,2025-01-23 23:29:00,60.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
10,1|64462|9|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-23 23:29:00,2025-01-23 23:29:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
11,1|64462|9|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-23 23:29:00,2025-01-23 23:29:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
12,1|64498|4|86|23012025,Antonplatz (Berlin),arrival,2025-01-23 23:38:00,2025-01-23 23:38:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
13,1|64462|9|86|23012025,Antonplatz (Berlin),arrival,2025-01-23 23:38:00,2025-01-23 23:38:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
14,1|64498|4|86|23012025,Antonplatz (Berlin),departure,2025-01-23 23:38:00,2025-01-23 23:38:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
15,1|64462|9|86|23012025,Antonplatz (Berlin),departure,2025-01-23 23:38:00,2025-01-23 23:38:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
16,1|64464|0|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-23 23:44:00,2025-01-23 23:36:00,-480.0,4,23,2025-01-23,early,more_than_5min_early,off_peak,weekday
17,1|64464|0|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-23 23:44:00,2025-01-23 23:44:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
18,1|64498|4|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-23 23:48:00,2025-01-23 23:49:00,60.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
19,1|64498|4|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-23 23:48:00,2025-01-23 23:48:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
20,1|64499|0|86|23012025,Antonplatz (Berlin),arrival,2025-01-23 23:51:00,2025-01-23 23:51:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
21,1|64499|0|86|23012025,Antonplatz (Berlin),departure,2025-01-23 23:51:00,2025-01-23 23:51:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
22,1|64464|0|86|23012025,Antonplatz (Berlin),arrival,2025-01-23 23:53:00,2025-01-23 23:53:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
23,1|64464|0|86|23012025,Antonplatz (Berlin),departure,2025-01-23 23:53:00,2025-01-23 23:53:00,0.0,4,23,2025-01-23,punctual,on_time,off_peak,weekday
24,1|64472|1|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-23 23:59:00,2025-01-23 23:36:00,-1380.0,4,23,2025-01-23,early,more_than_5min_early,off_peak,weekday
25,1|64499|1|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 00:31:00,2025-01-24 00:36:00,300.0,5,0,2025-01-24,late,1_to_5min_late,off_peak,weekday
26,1|64499|1|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 00:31:00,2025-01-24 00:36:00,300.0,5,0,2025-01-24,late,1_to_5min_late,off_peak,weekday
