,trip_id,line_name,product,station_id,station_name,direction,scheduled_arrival,actual_arrival,delay,delay_calc,occupancy,remarks
0,1|63615|22|86|22012025,M1,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T19:05:00+01:00,2025-01-22T19:04:00+01:00,-60.0,-60.0,,"[""Bicycle conveyance""]"
1,1|62737|35|86|22012025,50,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T19:06:00+01:00,2025-01-22T19:08:00+01:00,120.0,120.0,,"[""Bicycle conveyance""]"
2,1|64492|32|86|22012025,M13,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T19:06:00+01:00,2025-01-22T19:11:00+01:00,300.0,300.0,,"[""Bicycle conveyance""]"
3,1|63682|22|86|22012025,M1,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T19:10:00+01:00,2025-01-22T19:11:00+01:00,60.0,60.0,,"[""Bicycle conveyance""]"
4,1|65242|0|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T19:05:00+01:00,2025-01-22T19:05:00+01:00,,0.0,,"[""Bicycle conveyance""]"
5,1|65279|10|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T19:06:00+01:00,2025-01-22T19:06:00+01:00,,0.0,,"[""Bicycle conveyance""]"
6,1|65335|2|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T19:06:00+01:00,2025-01-22T19:06:00+01:00,,0.0,,"[""Bicycle conveyance"", ""Cancellation of intermediate stops""]"
7,1|65280|10|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T19:08:00+01:00,2025-01-22T19:08:00+01:00,,0.0,,"[""Bicycle conveyance""]"
8,1|65283|14|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T19:12:00+01:00,2025-01-22T19:12:00+01:00,,0.0,,"[""Bicycle conveyance""]"
9,1|65243|0|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T19:14:00+01:00,2025-01-22T19:14:00+01:00,,0.0,,"[""Bicycle conveyance""]"
10,1|65240|2|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T19:14:00+01:00,2025-01-22T19:14:00+01:00,,0.0,,"[""Bicycle conveyance""]"
11,1|65426|0|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T19:16:00+01:00,2025-01-22T19:16:00+01:00,,0.0,,"[""Bicycle conveyance"", ""Cancellation of intermediate stops""]"
12,1|65279|11|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T19:17:00+01:00,2025-01-22T19:17:00+01:00,,0.0,,"[""Bicycle conveyance""]"
